"cluster","artifact_type","artifact","status","severity","detail","rows","required_columns","missing_columns","next_step"
"Family/Divorce","export-directory","reports\gsc\family-divorce-2026-05-22","BLOCKED_EXPORT_DIRECTORY_MISSING","BLOCKED","Focused export directory is missing for this report date.","0","","","Run .\tools\gsc\run-priority-cluster-gsc-exports.ps1 after OAuth setup."
"Family/Divorce","export-pages","reports\gsc\family-divorce-2026-05-22\family-divorce-pages.csv","BLOCKED_MISSING_FILE","BLOCKED","Required CSV file is missing.","0","role|path|page|clicks|impressions|ctr|position","role|path|page|clicks|impressions|ctr|position","Run the priority GSC export for this cluster and rebuild decision maps before public upload or URL action."
"Family/Divorce","export-query-page","reports\gsc\family-divorce-2026-05-22\family-divorce-query-page.csv","BLOCKED_MISSING_FILE","BLOCKED","Required CSV file is missing.","0","match_type|query|path|page|clicks|impressions|ctr|position","match_type|query|path|page|clicks|impressions|ctr|position","Run the priority GSC export for this cluster and rebuild decision maps before public upload or URL action."
"Family/Divorce","export-cannibalization","reports\gsc\family-divorce-2026-05-22\family-divorce-cannibalization.csv","BLOCKED_MISSING_FILE","BLOCKED","Required CSV file is missing.","0","query|page_count|total_clicks|total_impressions|pages|positions|decision_use","query|page_count|total_clicks|total_impressions|pages|positions|decision_use","Run the priority GSC export for this cluster and rebuild decision maps before public upload or URL action."
"Family/Divorce","export-protected-sources","reports\gsc\family-divorce-2026-05-22\family-divorce-protected-sources.csv","BLOCKED_MISSING_FILE","BLOCKED","Required CSV file is missing.","0","path|status|clicks|impressions|ctr|position|risk_note","path|status|clicks|impressions|ctr|position|risk_note","Run the priority GSC export for this cluster and rebuild decision maps before public upload or URL action."
"Family/Divorce","export-summary","reports\gsc\family-divorce-2026-05-22\family-divorce-summary.json","BLOCKED_MISSING_FILE","BLOCKED","Required JSON summary is missing.","0","generatedAt|siteUrl|startDate|endDate|outputDir|safety|familyPageRows|familyQueryPageRows|cannibalizationGroups|protectedSourcesWithGscRows","generatedAt|siteUrl|startDate|endDate|outputDir|safety|familyPageRows|familyQueryPageRows|cannibalizationGroups|protectedSourcesWithGscRows","Regenerate the matching export or decision map."
"Family/Divorce","decision-map","reports\family-divorce-gsc-decision-map-2026-05-22.csv","VERIFIED_CSV_READY","OK","CSV exists, parses, has required columns and has data rows.","25","group|path|mapped_target|live_status|final_path|gsc_clicks|gsc_impressions|gsc_position|risk|proposed_action|required_before_action|status","","Use this artifact only together with the matching focused decision-map summary."
"Family/Divorce","protected-decision-map","reports\family-divorce-protected-url-decision-map-2026-05-22.csv","VERIFIED_CSV_READY","OK","CSV exists, parses, has required columns and has data rows.","18","group|path|mapped_target|live_status|final_path|gsc_clicks|gsc_impressions|gsc_position|risk|proposed_action|required_before_action|status","","Use this artifact only together with the matching focused decision-map summary."
"Family/Divorce","cannibalization-decision-map","reports\family-divorce-cannibalization-decision-map-2026-05-22.csv","VERIFIED_CSV_READY","OK","CSV exists, parses, has required columns and has data rows.","40","query|page_count|total_clicks|total_impressions|pages|positions|risk|proposed_action|status","","Use this artifact only together with the matching focused decision-map summary."
"Family/Divorce","decision-map-summary","reports\family-divorce-gsc-decision-map-2026-05-22.json","BLOCKED_DECISION_MAP_NOT_FOCUSED","BLOCKED","Decision-map summary is not from a focused GSC export. inputMode=FALLBACK_EXISTING_GSC_CACHE_NOT_FINAL; finality=NOT_FINAL_BASELINE_FROM_EXISTING_CACHE_RUN_FOCUSED_GSC_EXPORT_NEXT.","0","generatedAt|inputMode|reportDate|finality|outputs|targetRows|protectedRows|cannibalizationRows","","Run the real focused GSC export and rebuild the decision map before using it."
