file,line,severity,text
tools/batch-tag-family-law.js,21,REVIEW_BEFORE_RUNNING,"const DECISION_CSV = path.resolve(__dirname, '../../project-control/content-master/family-law-decision-map.csv');"
tools/build-criminal-owner-review-packet.mjs,123,REVIEW_BEFORE_RUNNING,"const sameDateInput = path.join(ROOT, 'reports', `${DASHBOARD_PREFIX}-${args.reportDate}.csv`);"
tools/build-criminal-owner-review-packet.mjs,135,REVIEW_BEFORE_RUNNING,"reportCsv: path.join(ROOT, 'reports', `${base}.csv`),"
tools/build-criminal-owner-review-packet.mjs,136,REVIEW_BEFORE_RUNNING,"reportJson: path.join(ROOT, 'reports', `${base}.json`),"
tools/build-criminal-owner-review-packet.mjs,137,REVIEW_BEFORE_RUNNING,"projectCsv: path.join(ROOT, 'project-control', `${base}.csv`),"
tools/build-criminal-owner-review-packet.mjs,138,REVIEW_BEFORE_RUNNING,"projectMd: path.join(ROOT, 'project-control', `${base}.md`),"
tools/build-criminal-owner-review-packet.mjs,148,REVIEW_BEFORE_RUNNING,node tools/build-criminal-owner-review-packet.mjs --reportDate=YYYY-MM-DD --input=reports/criminal-traffic-readiness-dashboard-YYYY-MM-DD.csv
tools/build-criminal-owner-review-packet.mjs,151,REVIEW_BEFORE_RUNNING,reports/criminal-traffic-readiness-dashboard-YYYY-MM-DD.csv
tools/build-criminal-owner-review-packet.mjs,154,REVIEW_BEFORE_RUNNING,reports/criminal-owner-review-packet-YYYY-MM-DD.csv
tools/build-criminal-owner-review-packet.mjs,155,REVIEW_BEFORE_RUNNING,reports/criminal-owner-review-packet-YYYY-MM-DD.json
tools/build-criminal-owner-review-packet.mjs,156,REVIEW_BEFORE_RUNNING,project-control/criminal-owner-review-packet-YYYY-MM-DD.csv
tools/build-criminal-owner-review-packet.mjs,157,REFERENCE_ONLY,project-control/criminal-owner-review-packet-YYYY-MM-DD.md
tools/build-criminal-owner-review-packet.mjs,266,REFERENCE_ONLY,"'CRIM-UPLOAD-PKG-001': 'content-drafts/criminal-lawyer-pillar-he.md',"
tools/build-criminal-owner-review-packet.mjs,267,REFERENCE_ONLY,"'CRIM-UPLOAD-PKG-002': 'content-drafts/police-investigation-supporting-he.md',"
tools/build-criminal-owner-review-packet.mjs,268,REFERENCE_ONLY,"'CRIM-UPLOAD-PKG-003': 'content-drafts/pretrial-detention-supporting-he.md',"
tools/build-criminal-owner-review-packet.mjs,269,REFERENCE_ONLY,"'CRIM-UPLOAD-PKG-004': 'content-drafts/indictment-supporting-he.md',"
tools/build-criminal-owner-review-packet.mjs,270,REFERENCE_ONLY,"'CRIM-UPLOAD-PKG-005': 'content-drafts/drug-offenses-supporting-he.md',"
tools/build-decision-map.js,14,REVIEW_BEFORE_RUNNING,"const INPUT = path.resolve(__dirname, '../../project-control/content-master/family-law-cluster.csv');"
tools/build-decision-map.js,15,REVIEW_BEFORE_RUNNING,"const OUTPUT = path.resolve(__dirname, '../../project-control/content-master/family-law-decision-map.csv');"
