priority,recommendation,cluster,title,candidate_url,post_id,post_type,live_status,clicks,impressions,reasons,gsc_risk,gsc_matched,gsc_top_queries,status,safety_gate
"P0","PROTECT_AND_REWRITE_OR_MERGE","criminal-law","UNKNOWN","https://jus-tice.co.il/%D7%AA%D7%97%D7%A0%D7%95%D7%AA-%D7%9E%D7%A9%D7%98%D7%A8%D7%94-%D7%9B%D7%AA%D7%95%D7%91%D7%AA-%D7%98%D7%9C%D7%A4%D7%95%D7%9F-%D7%A8%D7%A9%D7%99%D7%9E%D7%94-%D7%90%D7%A8%D7%A6%D7%99%D7%AA-%D7%9E%D7%A2%D7%95%D7%93%D7%9B%D7%9F","","gsc-url","","482","118014","direct_gsc_high_value_url|gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","DO_NOT_TOUCH_HIGH_TRAFFIC_URL","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","real-estate","עורך דין מקרקעין מומלץ | עורך דין מקרקעין מחיר | ייעוץ חינם","https://jus-tice.co.il/real-estate-attorney","1149","articles","200","17","88601","trust_claim_review|gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","criminal-law","עורך דין פלילי | עו”ד פלילי | משרדי עורכי דין פליליים","https://jus-tice.co.il/criminal-defense-attorney","857","articles","200","10","62561","gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","criminal-law","UNKNOWN","https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%93%D7%99%D7%9F/%D7%A2%D7%95%D7%A8%D7%9B%D7%99-%D7%94%D7%93%D7%99%D7%9F-%D7%94%D7%9E%D7%A4%D7%95%D7%A8%D7%A1%D7%9E%D7%99%D7%9D-%D7%91%D7%99%D7%95%D7%AA%D7%A8-%D7%9C%D7%94%D7%92%D7%A0%D7%94-%D7%A4%D7%9C%D7%99%D7%9C","","gsc-url","","96","52640","direct_gsc_high_value_url|gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","DO_NOT_TOUCH_HIGH_TRAFFIC_URL","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","tax-law","UNKNOWN","https://jus-tice.co.il/%D7%9E%D7%93%D7%A8%D7%99%D7%9A-%D7%94%D7%97%D7%96%D7%A8%D7%99-%D7%9E%D7%A1-%D7%A2%D7%9D-%D7%9E%D7%97%D7%A9%D7%91%D7%95%D7%9F","","gsc-url","","80","50948","direct_gsc_high_value_url|gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","DO_NOT_TOUCH_HIGH_TRAFFIC_URL","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","needs-classification","בניית אתרים חינם: מהי האופציה לבניית האתרים הטובה ביותר בחינם? | אתר בחינם","https://jus-tice.co.il/beginners-guide-how-to-choose-the-best-website-builder","3621","articles","200","28","47788","trust_claim_review|gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","needs-classification","דרכון גרמני לישראלים | עורך דין דרכון גרמני | יתרונות דרכון אזרחות גרמנית","https://jus-tice.co.il/german-passport","8972","articles","200","13","46747","gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","needs-classification","עורך דין הגירה | עו”ד הגירה לחו”ל | רילוקיישן לישראלים","https://jus-tice.co.il/immigration-lawyer","8821","articles","200","100","43300","gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","needs-classification","מחירים עדכניים (2025) ותחזית לשוק הנדל”ן | רכישת נדל”ן בישראל בלווי עורך דין","https://jus-tice.co.il/israel-real-estate-price-forecast","12609","articles","200","53","39708","gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","criminal-law","טופס בקשה לתעודת מידע פלילי | תעודת יושר | היעדר מרשם פלילי","https://jus-tice.co.il/apply-for-police-criminal-information-certificates","3095","articles","200","188","38667","gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","criminal-law","UNKNOWN","https://jus-tice.co.il/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A4%D7%9C%D7%99%D7%9C%D7%99","","gsc-url","","234","38017","direct_gsc_high_value_url|gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","DO_NOT_TOUCH_HIGH_TRAFFIC_URL","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","real-estate","איפה הכי זול לקנות דירה בעולם | השקעות נדל”ן בחו”ל לישראלים","https://jus-tice.co.il/low-value-invest-abroad","10870","articles","200","128","37005","gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","family-law-divorce","הסכם גירושין דוגמא | תבנית הסכם גירושין | טופס הסכם גירושין בחינם","https://jus-tice.co.il/free-divorce-agreement-template","3130","articles","200","185","36900","gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","real-estate","עורך דין קניית דירה | עו”ד מכירת דירה | מומחה בעסקאות מקרקעין","https://jus-tice.co.il/lawyer-for-buying-or-selling-a-house","1142","articles","200","3","35650","gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","needs-classification","מחיקת רישום משטרתי | ביטול רישום של תיקים סגורים","https://jus-tice.co.il/police-records-data-deletion","888","articles","200","8","34081","gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
