"source_url","target_url","anchor_text","link_type","reason","priority","status"
"http://jus-tice.co.il/family-dispute-resolution/","https://jus-tice.co.il/child-custody/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/family-dispute-resolution/","https://jus-tice.co.il/child-support/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/family-dispute-resolution/","https://jus-tice.co.il/consensual-divorce/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/family-dispute-resolution/","https://jus-tice.co.il/divorce-lawyer/","","support_to_pillar","Extracted from public REST rendered content","HIGH","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/family-dispute-resolution/","https://jus-tice.co.il/divorce-mediation/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/family-dispute-resolution/","https://jus-tice.co.il/divorce-property-division/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/family-dispute-resolution/","https://jus-tice.co.il/lawyers/?area=family-law","","article_to_lawyer","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/divorce-property-division/","https://jus-tice.co.il/business-valuation-divorce/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/divorce-property-division/","https://jus-tice.co.il/child-custody/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/divorce-property-division/","https://jus-tice.co.il/child-support/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/divorce-property-division/","https://jus-tice.co.il/consensual-divorce/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/divorce-property-division/","https://jus-tice.co.il/divorce-lawyer/","","support_to_pillar","Extracted from public REST rendered content","HIGH","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/divorce-property-division/","https://jus-tice.co.il/divorce-mediation/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/divorce-property-division/","https://jus-tice.co.il/divorce-property-division/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/divorce-property-division/","https://jus-tice.co.il/family-dispute-resolution/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/divorce-property-division/","https://jus-tice.co.il/hidden-assets-divorce/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/divorce-property-division/","https://jus-tice.co.il/lawyers/?area=family-law","","article_to_lawyer","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
"http://jus-tice.co.il/divorce-property-division/","https://jus-tice.co.il/pension-division-divorce/","","article_to_internal","Extracted from public REST rendered content","MEDIUM","EXPORTED_NEEDS_REVIEW"
