group,path,role,expected,status,initialHttp,http,redirectLocation,expectedFinalPath,finalPath,finalUrl,contentType,bytes,title,h1,canonical,robots,issues
"clean_target","/divorce-lawyer/","Wave 1A pillar target","ready slot or reviewed live page before upload","LIVE_PRESENT_REVIEW","200","200","","/divorce-lawyer/","/divorce-lawyer/","https://jus-tice.co.il/divorce-lawyer/","text/html; charset=UTF-8","114985","עורך דין גירושין: מדריך עומק לבחירה נכונה, תהליך, עלויות, ילדים ורכו","עורך דין גירושין: מדריך עומק לבחירה נכונה, תהליך, עלויות, ילדים ורכוש","https://jus-tice.co.il/divorce-lawyer/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","target_already_live_review_before_overwrite"
"clean_target","/consensual-divorce/","Wave 1A support target","ready slot or reviewed live page before upload","LIVE_PRESENT_REVIEW","200","200","","/consensual-divorce/","/consensual-divorce/","https://jus-tice.co.il/consensual-divorce/","text/html; charset=UTF-8","106496","גירושין בהסכמה: איך בונים הסכם שמחזיק לאורך זמן | Jus-Tice","גירושין בהסכמה: איך בונים הסכם שמחזיק לאורך זמן","https://jus-tice.co.il/consensual-divorce/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","target_already_live_review_before_overwrite"
"clean_target","/divorce-mediation/","Wave 1A support target","ready slot or reviewed live page before upload","LIVE_PRESENT_REVIEW","200","200","","/divorce-mediation/","/divorce-mediation/","https://jus-tice.co.il/divorce-mediation/","text/html; charset=UTF-8","132953","גישור גירושין: מתי זה נכון, איך מתכוננים ומה חשוב לבדוק | Jus-Tice","גישור גירושין: מתי זה נכון, איך מתכוננים ומה חשוב לבדוק","https://jus-tice.co.il/divorce-mediation/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","target_already_live_review_before_overwrite"
"clean_target","/divorce-property-division/","Wave 1A support target","ready slot or reviewed live page before upload","LIVE_PRESENT_REVIEW","200","200","","/divorce-property-division/","/divorce-property-division/","https://jus-tice.co.il/divorce-property-division/","text/html; charset=UTF-8","107382","חלוקת רכוש בגירושין: נכסים, חובות, דירה, פנסיה ועסק משפחתי | Jus-Tic","חלוקת רכוש בגירושין: נכסים, חובות, דירה, פנסיה ועסק משפחתי","https://jus-tice.co.il/divorce-property-division/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","target_already_live_review_before_overwrite"
"clean_target","/family-dispute-resolution/","Wave 1A support target","ready slot or reviewed live page before upload","LIVE_PRESENT_REVIEW","200","200","","/family-dispute-resolution/","/family-dispute-resolution/","https://jus-tice.co.il/family-dispute-resolution/","text/html; charset=UTF-8","103464","יישוב סכסוך במשפחה: מה קורה לפני תביעה ומה צריך להכין | Jus-Tice","יישוב סכסוך במשפחה: מה קורה לפני תביעה ומה צריך להכין","https://jus-tice.co.il/family-dispute-resolution/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","target_already_live_review_before_overwrite"
"clean_target","/child-support/","Wave 1B support target","ready slot or reviewed live page before upload","LIVE_PRESENT_REVIEW","200","200","","/child-support/","/child-support/","https://jus-tice.co.il/child-support/","text/html; charset=UTF-8","304836","מזונות ילדים: מדריך מעשי לפני הסכם, תביעה או שינוי מצב | Jus-Tice","מזונות ילדים: מדריך מעשי לפני הסכם, תביעה או שינוי מצב","https://jus-tice.co.il/child-support/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","target_already_live_review_before_overwrite"
"clean_target","/child-custody/","Wave 1B support target","ready slot or reviewed live page before upload","LIVE_PRESENT_REVIEW","200","200","","/child-custody/","/child-custody/","https://jus-tice.co.il/child-custody/","text/html; charset=UTF-8","105685","משמורת ילדים וזמני שהות: איך מתכננים הסדר שמתאים לילדים | Jus-Tice","משמורת ילדים וזמני שהות: איך מתכננים הסדר שמתאים לילדים","https://jus-tice.co.il/child-custody/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","target_already_live_review_before_overwrite"
"protected_source","/free-divorce-agreement-template/","P0 GSC source: divorce agreement template","must remain reachable; no homepage redirect; no accidental 404","PASS","200","200","","/free-divorce-agreement-template/","/free-divorce-agreement-template/","https://jus-tice.co.il/free-divorce-agreement-template/","text/html; charset=UTF-8","86943","הסכם גירושין דוגמא | תבנית הסכם גירושין | טופס הסכם גירושין בחינם | Jus-Tice.co.il","הסכם גירושין דוגמא | תבנית הסכם גירושין | טופס הסכם גירושין בחינם","https://jus-tice.co.il/free-divorce-agreement-template/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","-"
"protected_source","/%D7%9E%D7%97%D7%A9%D7%91%D7%95%D7%9F-%D7%9E%D7%96%D7%95%D7%A0%D7%95%D7%AA-%D7%99%D7%9C%D7%93%D7%99%D7%9D","P0 GSC source: child support calculator","must remain reachable; no homepage redirect; no accidental 404","CONFLICT","301","200","https://jus-tice.co.il","/%D7%9E%D7%97%D7%A9%D7%91%D7%95%D7%9F-%D7%9E%D7%96%D7%95%D7%A0%D7%95%D7%AA-%D7%99%D7%9C%D7%93%D7%99%D7%9D/","/","https://jus-tice.co.il/","text/html; charset=UTF-8","145703","עורכי דין בישראל | מדריך עורכי דין, מאמרים משפטיים וייעוץ","עורכי דין בישראל — מאגר עורכי דין, מאמרים משפטיים ומדריכים מקצועיים","https://jus-tice.co.il/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","initial_redirect_301_to_/;protected_url_redirects_to_homepage"
"protected_source","/joint-custody-shared-parenting/","P0 GSC source: joint custody/shared parenting","must remain reachable; no homepage redirect; no accidental 404","PASS","200","200","","/joint-custody-shared-parenting/","/joint-custody-shared-parenting/","https://jus-tice.co.il/joint-custody-shared-parenting/","text/html; charset=UTF-8","85947","משמורת משותפת | Jus-Tice.co.il","משמורת משותפת","https://jus-tice.co.il/joint-custody-shared-parenting/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","-"
