post_id,status,requested_slug,actual_slug,error
14010,OK,"rabbinical-agreement-approval","rabbinical-agreement-approval",""
13152,OK,"most-recommended-family-lawyer","most-recommended-family-lawyer",""
12987,OK,"future-of-divorce-process","future-of-divorce-process",""
12979,OK,"experienced-family-law-attorney","experienced-family-law-attorney",""
12975,OK,"1396562-2","1396562-2",""
12946,FAIL,"can-you-be-common-law-married-to-a-married-person","","409: ""<h1>Publication blocked</h1><p>This content still contains internal editorial/project markers and was not published.</p><p><strong>Detected markers:</strong> <code>GSC</code></p><p>Keep the post as draft, move internal notes to the internal editorial note, then publish only the public-facing Hebrew article body.</p>"""
12934,FAIL,"family-mediation-updated-trends","","409: ""<h1>Publication blocked</h1><p>This content still contains internal editorial/project markers and was not published.</p><p><strong>Detected markers:</strong> <code>בדיקה משפטית</code></p><p>Keep the post as draft, move internal notes to the internal editorial note, then publish only the public-facing Hebrew article body.</p>"""
12924,FAIL,"investigations-and-intelligence-division","","409: ""<h1>Publication blocked</h1><p>This content still contains internal editorial/project markers and was not published.</p><p><strong>Detected markers:</strong> <code>CRM</code></p><p>Keep the post as draft, move internal notes to the internal editorial note, then publish only the public-facing Hebrew article body.</p>"""
12921,OK,"top-experts-family-law","top-experts-family-law",""
12914,OK,"new-trends-ai-family-law","new-trends-ai-family-law",""
12907,OK,"criminal-prosecutions","criminal-prosecutions",""
12897,OK,"the-recommended-family-lawyers","the-recommended-family-lawyers",""
12879,OK,"996028-3","996028-3",""
12871,OK,"petah-tikva-divorce-lawyer","petah-tikva-divorce-lawyer",""
12857,OK,"posta","posta",""
12851,OK,"7776-09-24","7776-09-24",""
12841,FAIL,"ai-for-law-firms","","409: ""<h1>Publication blocked</h1><p>This content still contains internal editorial/project markers and was not published.</p><p><strong>Detected markers:</strong> <code>CRM, LegalTech</code></p><p>Keep the post as draft, move internal notes to the internal editorial note, then publish only the public-facing Hebrew article body.</p>"""
12681,OK,"1520884-1","1520884-1",""
12678,OK,"1331339-3","1331339-3",""
12675,OK,"1331339-1","1331339-1",""
12663,OK,"investment-loss-compensation","investment-loss-compensation",""
12655,OK,"real-estate-lawyer-cost-2025","real-estate-lawyer-cost-2025",""
12652,OK,"business-license","business-license",""
12626,OK,"online-rent-agreement","online-rent-agreement",""
12622,OK,"australia-lawyers","australia-lawyers",""
12616,OK,"israel-tax-authority","israel-tax-authority",""
12611,OK,"1509592-1","1509592-1",""
